failure_class,area,shape,mode,detail,signatures,rows,example_signature,example_seed,example_profile,example_replay_path
mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,12,12,1151fd6686ab,3552036,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3552036/primary/replay.json
mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<svg svg> => <svg svg>,1,1,d6d3e6db0f81,7465281,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7465281/primary/replay.json
mutation-tree-mismatch,SVG / foreign content tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,2,2,1e07c5433a1c,7270312,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7270312/primary/replay.json
mutation-tree-mismatch,comment token placement,wordpress-scalar-dom-element,full-document,<!-- <comment> --> => <html>,1,1,036e2350cdfe,4870424,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4870424/primary/replay.json
mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,10,10,07c2a1a57a57,1670077,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1670077/primary/replay.json
normalize-invariant-failed,normalize idempotence,normalize-invariant-failed,full-document,normalize-not-idempotent,1,246,2c06964232b2,263446,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-263446/primary/replay.json
normalize-invariant-failed,normalize output becomes unsupported,normalize-invariant-failed,fragment-body,normalize-output-unsupported,1,271,b834774a51fd,782206,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-782206/primary/replay.json
normalize-invariant-failed,normalize output becomes unsupported,normalize-invariant-failed,full-document,normalize-output-unsupported,1,185,b64f93ac3d97,212181,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-212181/primary/replay.json
tag-invariant-failed,tag processor seek/token-stream invariant,tag-invariant-failed,fragment-body,seek-token-stream-mismatch,1,33,921cb853f225,783656,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-783656/primary/replay.json
tag-invariant-failed,tag processor seek/token-stream invariant,tag-invariant-failed,full-document,seek-token-stream-mismatch,1,12,1c4d91761ea7,932611,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-932611/primary/replay.json
timeout,processor timeout/hang candidate,timeout,fragment-body, => ,1,6,fffd81bafb7e,1880841,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-1880841/primary/replay.json
timeout,processor timeout/hang candidate,timeout,full-document, => ,1,2,2b23994deaf6,6016228,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-6016228/primary/replay.json
